date,gauge_id,lvl_sm,q_cms_s,lvl_mbs,q_mm_day,t_max_e5l,t_max_e5,t_min_e5l,t_min_e5,prcp_e5l,prcp_e5,prcp_gpcp,prcp_imerg,prcp_mswep,Eb,Es,Et,SMsurf,SMroot,Ew,Ei,S,E,Ep
2008-01-01,9326,25.0,1.03,140.03,0.0821806233914467,-8.006704505656103,-8.067632514905881,-12.686102867495322,-12.684042899401959,2.0256600912855203,15.389430418422899,0.8149106578258403,0.330226262823169,1.1744216726484482,0.0,-0.0021731723148931,0.0,0.1986374156020714,0.1909598741779285,4.50810374511162e-05,0.0,0.5320769854168775,-0.0021731723148931,-0.0021731723148931
2008-01-02,9326,25.0,1.0,140.03,0.0797870130014045,-9.42001791833951,-9.404989678005393,-12.11476142912818,-12.109814523816283,1.9923533087664198,14.4415643022407,0.4455273429976257,0.21650695970737874,1.5377531297382454,0.0,0.0076905720119659,0.0,0.1983456688355315,0.1909473062068434,0.0001120826774726,0.0,0.5320769854168775,0.0076905720119659,0.0076905720119659
2008-01-03,9326,25.0,0.98,140.03,0.0781912727413765,-11.791712999114168,-11.786140011471275,-30.105827718382102,-29.76408638059067,1.39092312982548,10.319585052170401,0.1459016736852109,0.120853800304633,0.8199062146926007,0.0,-0.0045034028612841,0.0,0.1981589026993496,0.1909402155177529,2.6650216620822494e-05,0.0,0.5320769854168775,-0.0045034028612841,-0.0045034028612841
2008-01-04,9326,24.0,0.95,140.02,0.0757976623513343,-26.533337929848898,-26.746064455151895,-34.234704476940465,-34.17286460108309,0.08842402629361,0.6608122936006,0.5545690916558387,0.03545737981375688,0.0,0.0,-0.0091514631851061,0.0,0.1980329319209631,0.190936139818289,0.0,0.0,0.5320769854168775,-0.0091514631851061,-0.0091514631851061
2008-01-05,9326,24.0,0.92,140.02,0.0734040519612922,-18.7355402913513,-18.70191851591389,-25.130775815378286,-25.332349458039204,1.8724763334749799,13.5614404890511,1.957377876214036,0.8805963119522349,1.7940555442746786,0.0,0.0078198294657761,0.0,0.1979438149066576,0.1909337366284592,8.0845852018702e-05,0.0,0.5320769854168775,0.0078198294657761,0.0078198294657761
2008-01-06,9326,24.0,0.89,140.02,0.07101044157125,-17.888051882226364,-17.942053555741126,-20.077151457567567,-20.07905219254431,0.62713136643392,4.6124622402219,0.4052276854608851,0.2361294737377913,0.4683244514413732,0.0,-0.0035045273862359,0.0,0.1978780747041923,0.1909322690793332,6.85967561468351e-05,0.0,0.5320769854168775,-0.0035045273862359,-0.0035045273862359
2008-01-07,9326,23.0,0.86,140.01,0.0686168311812079,-18.18468017938423,-18.20568483666267,-24.554274801265052,-24.53557999558015,0.46145681137429995,3.482545307054,0.0,0.01535865630803123,0.1976754288610089,0.0,-0.0168700443344566,0.0,0.1978278945071706,0.1909313167730125,0.0,0.0,0.5320769854168775,-0.0168700443344566,-0.0168700443344566
2008-01-08,9326,23.0,0.84,140.01,0.0670210909211798,-14.682754801096337,-14.70324344689692,-24.437219215999875,-24.469570455819166,0.20816076975173,1.5084206500900998,0.0,0.0,0.2859170849782483,0.0,-0.0107197056704645,0.0,0.1977885276163787,0.1909306697581472,5.949562344561365e-05,0.0,0.5320769854168775,-0.0107197056704645,-0.0107197056704645
2008-01-09,9326,22.0,0.81,140.0,0.0646274805311377,-12.51728491548971,-12.55784771430865,-22.949777933515804,-22.591119028002566,1.26198224713109,9.4485099414303,0.0,0.0,0.7604155070231781,0.0,-0.0069905653390801,0.0,0.1977570237775909,0.190930186725791,3.815739086273547e-05,0.0,0.5320769854168775,-0.0069905653390801,-0.0069905653390801
2008-01-10,9326,22.0,0.78,140.0,0.0622338701410955,-23.745008040691204,-23.389202091003227,-34.11824778069828,-33.84107662475509,0.16052838201507,1.2434978244424,0.0,0.00021838793203945002,2.97690797143347e-05,0.0,-0.0070486975177349,0.0,0.1977314277164118,0.1909298025889693,1.7295320621233376e-05,0.0,0.5320769854168775,-0.0070486975177349,-0.0070486975177349
