iter	MAE	RMSE
0	20.34600181	29.83331446
1	19.48728883	28.72769639
2	18.65583602	27.65080369
3	17.92869744	26.64880492
4	17.175646	25.72433432
5	16.43643621	24.80987225
6	15.76807536	23.95138973
7	15.15681002	23.13139359
8	14.54382946	22.35801951
9	13.98653519	21.59329088
10	13.41847797	20.89216759
11	12.91158076	20.2134423
12	12.4185811	19.59390152
13	11.95313161	18.99628276
14	11.544141	18.44411196
15	11.14230661	17.93784135
16	10.74147139	17.42805786
17	10.39004038	16.96455248
18	10.04925979	16.51349922
19	9.725204359	16.11098803
20	9.428152412	15.72728386
21	9.13614388	15.34827931
22	8.87587899	14.98307465
23	8.627847711	14.66024197
24	8.401006544	14.34350325
25	8.17554625	14.05211776
26	7.964557109	13.74314573
27	7.7896228	13.51846238
28	7.619247669	13.30377021
29	7.452163282	13.05791311
30	7.307031008	12.85829434
31	7.160120595	12.64321012
32	7.021575975	12.4257874
33	6.913530927	12.2480334
34	6.785301208	12.06867743
35	6.665943018	11.89600116
36	6.5528295	11.74824565
37	6.46278823	11.61092283
38	6.362532976	11.45757805
39	6.271164909	11.32907949
40	6.190475621	11.20820714
41	6.119542787	11.10447643
42	6.043327581	10.99152764
43	5.977261671	10.88816587
44	5.912272412	10.78652218
45	5.841461338	10.6738069
46	5.785661033	10.57350902
47	5.730792618	10.49329142
48	5.6817939	10.41021394
49	5.633133038	10.32710163
50	5.600239044	10.26617836
51	5.561757135	10.2021583
52	5.519607163	10.13579272
53	5.477412633	10.06237977
54	5.432499408	9.99187046
55	5.40026618	9.926919618
56	5.360622111	9.876533097
57	5.332723292	9.827348102
58	5.303387008	9.78877883
59	5.267024322	9.730371361
60	5.241379127	9.692350802
61	5.212551194	9.645084947
62	5.183035497	9.607261355
63	5.155707393	9.557408934
64	5.130032543	9.524245361
65	5.105320501	9.472138104
66	5.088151218	9.431455893
67	5.06568288	9.388205553
68	5.042164911	9.338990074
69	5.019658267	9.293105673
70	5.00120745	9.254419908
71	4.988705286	9.225899737
72	4.963271833	9.19150498
73	4.941609406	9.157547057
74	4.923428177	9.133101436
75	4.908102048	9.100373834
76	4.89065266	9.056152153
77	4.876604531	9.037385502
78	4.866222915	9.012415101
79	4.856897916	8.989564423
80	4.838045467	8.948038641
81	4.831099931	8.935127299
82	4.822273565	8.918036862
83	4.80796119	8.887386667
84	4.799998046	8.866182255
85	4.786183367	8.844247556
86	4.778427185	8.823212594
87	4.764013575	8.797659164
88	4.751913604	8.768562128
89	4.740710721	8.753638572
90	4.728349363	8.736701789
91	4.722269417	8.721522961
92	4.711496594	8.695681032
93	4.703843033	8.676402247
94	4.691005276	8.653058603
95	4.680591257	8.627834359
96	4.669285507	8.601390212
97	4.657688078	8.587858815
98	4.647711564	8.561189805
99	4.632942571	8.536069075
100	4.620041672	8.515186587
101	4.60961165	8.492690923
102	4.595802581	8.468824843
103	4.585844665	8.446513881
104	4.579967855	8.429643196
105	4.572792802	8.417081076
106	4.564813263	8.407126258
107	4.555191864	8.395321196
108	4.548546577	8.375184643
109	4.54163799	8.364008351
110	4.5365102	8.351033767
111	4.529611287	8.332360103
112	4.522612739	8.311168295
113	4.515664724	8.301879866
114	4.507858174	8.282344481
115	4.500217868	8.267275832
116	4.491851835	8.246792846
117	4.4832132	8.234454086
118	4.471398193	8.215978572
119	4.466154375	8.204146348
120	4.459057638	8.185273226
121	4.451090783	8.171398578
